,GERMAN,ENGLISH
140,dein,your
141,heute,today
142,kommt,comes
143,wollen,want
144,damit,with it
145,ganz,quite
146,wäre,were
147,wollte,wanted
148,weißt,white
149,ok,OK
150,sicher,secure
151,gesagt,said
152,frau,woman
153,nun,so
154,bis,until
155,wurde,became
156,leid,sorrow
157,na,n / A
158,kannst,can
159,macht,might
160,dieser,this
161,zurück,return
162,lassen,permit
163,hallo,Hello
164,meinen,think
165,gott,God
166,seine,his
167,hätte,had
168,zwei,two
169,könnte,could
170,genau,Exactly
171,waren,were
172,lass,let
173,klar,clear
174,morgen,morning
175,leute,people
176,vater,father
177,schön,nice
178,glaube,believe
179,mr.,mr.
180,ab,away
181,gerade,straight
182,tag,Day
183,gesehen,seen
184,reden,talk
185,wohl,probably
186,liebe,love
187,sollte,should
188,sagte,said
189,unsere,our
190,jemand,someone
191,geld,money
192,durch,through
193,ob,if
194,keinen,no
195,mutter,mother
196,raus,out
197,gemacht,made
198,paar,pair
199,mach,make
200,passiert,happens
201,dachte,thought
202,besser,better
203,musst,must
204,wieso,how come
205,sir,sir
206,dieses,this
207,selbst,self
208,gehört,heard
209,möchte,would like
210,ohne,without
211,hör,listening
212,her,from
213,sag,say
214,meiner,mine
215,anderen,others
216,helfen,help
217,nacht,night
218,finden,find
219,diesen,this
220,gute,good
221,wirst,become
222,lange,longing
223,natürlich,naturally
224,ach,Oh
225,meinem,my
226,gar,even
227,ins,into the
228,sei,may be
229,dort,there
230,weiter,further
231,geben,give
232,seit,since
233,gleich,even
234,sagt,says
235,recht,right
236,ihren,your
237,richtig,correct
238,ordnung,order
239,vom,from the
240,hören,hear
241,sieht,sees
242,davon,of that
243,dafür,for this
244,geh,walk
245,diesem,this
246,wegen,because of
247,hause,home
248,sollten,should
249,mädchen,girl
250,hin,there
251,sollen,should
252,abend,evening
253,haus,a house
254,denke,think
255,viele,many
256,drei,three
257,deinen,yours
258,freund,friend
259,guten,good
260,unser,our
261,warte,wait
262,machst,do
263,menschen,people
264,essen,eat
265,angst,fear
266,bleiben,remain
267,zusammen,together
268,welt,world
269,unter,under
270,habt,have
271,schnell,fast
272,andere,other
273,tot,dead
274,getan,did
275,darf,may
276,erst,first
277,rein,pure
278,stimmt,is correct
279,nehmen,take
280,kinder,children
281,eines,one
282,glauben,believe
283,bringen,bring
284,ganze,entire
285,genug,enough
286,scheiße,Fuck
287,brauchen,need
288,gegen,against
289,moment,moment
290,junge,young
291,steht,stands
292,sonst,otherwise
293,musik,music
294,arbeit,work
295,seid,are
296,ihrer,of their
297,fragen,questions
298,herr,Mr
299,dabei,included
300,heißt,is called
301,familie,family
302,warten,wait
303,niemand,no one
304,sofort,immediately
305,bevor,before
306,jahre,years
307,einmal,once
308,problem,problem
309,sohn,son
310,wann,When
311,brauche,need
312,fertig,complete
313,halt,just
314,allein,alone
315,beim,at the
316,sprechen,speak
317,beide,both
318,gefunden,found
319,hatten,had
320,sache,matter
321,hilfe,help
322,verdammt,damned
323,ne,ne
324,jeder,everyone
325,warst,beings
326,gern,gladly
327,konnte,could
328,darüber,about it
329,halten,hold
330,siehst,see
331,verstehe,understand
332,jahren,years
333,kam,came
334,kind,child
335,wusste,knew
336,wahr,true
337,seinen,his
338,dazu,in addition
339,bruder,brother
340,daran,to it
341,ihrem,hers
342,denken,think
343,könnten,might
344,dank,thanks to
345,würden,would
346,lieber,Dear
347,fall,case
348,deiner,yours
349,sehe,see
350,egal,doesn't matter
351,kennen,know
352,deinem,yours
353,vergessen,forget
354,frage,ask
355,mache,make
356,komme,come
357,sage,legend
358,mag,like
359,sieh,see
360,echt,Really
361,gib,give
362,eigentlich,actually
363,jeden,every
364,dad,dad
365,gab,gave
366,uhr,clock
367,stadt,city
368,männer,men
369,baby,infant
370,fahren,drive
371,namen,names
372,bekommen,receive
373,kopf,head
374,hi,Hi
375,gehe,go
376,kleine,small
377,später,later
378,glück,happiness
379,letzte,last
380,freunde,friends
381,n,n
382,all,Alles
383,darauf,on it
384,ende,end
385,dr.,Dr.
386,bald,soon
387,töten,kill
388,dinge,things
389,meinst,mean
390,toll,Great
391,eins,one
392,minuten,minute
393,vielen,many
394,bereit,ready
395,weit,far
396,ahnung,idea
397,seiner,his
398,bisschen,a little
399,tür,door
400,auto,automobile
401,jungs,guys
402,eure,your
403,augen,eyes
404,polizei,police
405,stehen,stand
406,sterben,die
407,hätten,have
408,draußen,outside
409,kenne,know
410,fast,nearly
411,runter,down
412,vorbei,over
413,treffen,meet
414,gerne,gladly
415,dran,your turn
416,wurden,became
417,arbeiten,work
418,mom,mom
419,verrückt,crazy
420,neue,new
421,ging,went
422,hinter,behind
423,sorgen,care for
424,einzige,only
425,jemanden,someone
426,darum,therefore
427,tochter,daughter
428,braucht,needs
429,idee,idea
430,schwester,sister
431,drin,in it
432,ruhig,quiet
433,sah,saw
434,ganzen,entire
435,spät,late
436,ziemlich,quite
437,solltest,should
438,name,Surname
439,sogar,even
440,kurz,short
441,kerl,Guy
442,frauen,women
443,liegt,lies
444,suchen,seek
445,finde,find
446,je,ever
447,woher,from where
448,lang,long
449,job,job
450,keiner,none
451,seinem,his
452,hört,hear
453,verstehen,understand
454,spielen,play
455,s.,s.
456,überhaupt,at all
457,teufel,devil
458,verstanden,understood
459,verloren,lost
460,große,size
461,hand,hand
462,grund,ground
463,jahr,year
464,kommst,come
465,mama,mummy
466,ruhe,quiet
467,gewesen,been
468,tod,death
469,stunden,hours
470,hoffe,hope
471,denkst,thinking
472,oben,above
473,gestern,yesterday
474,versuchen,attempt
475,art,kind
476,letzten,last
477,schatz,treasure
478,endlich,finally
479,he,hey
480,nimm,take
481,etwa,approximately
482,erzählt,told
483,läuft,runs
484,schwer,difficult
485,anders,different
486,miss,miss
487,musste,had to
488,fünf,five
489,wasser,water
490,lässt,leaves
491,erste,first
492,versucht,tried
493,gekommen,came
494,geschichte,story
495,wenig,few
496,holen,fetch
497,bedeutet,means
498,nett,kind
499,wahrheit,truth
500,woche,week
501,bringt,brings
502,deshalb,for this reason
503,welche,which
504,bestimmt,certainly
505,hoch,high
506,alter,age
507,sagst,say
508,schau,look
509,ah,ah
510,land,country
511,zimmer,room
512,wagen,car 
513,vier,four
514,gefallen,please
515,spaß,fun
516,niemals,never
517,schuld,fault
518,getötet,killed
519,wollten,wanted to
520,verlassen,leave
521,zeigen,show
522,beste,best
523,ernst,serious
524,unserer,ours
525,denen,whom
526,ort,location
527,bleibt,remains
528,würdest,would
529,manchmal,sometimes
530,glaubst,believe
531,seite,page
532,lasst,leaves
533,zwischen,between
534,eben,even
535,während,while
536,spiel,game
537,nehme,take
538,ersten,first
539,guter,goods
540,chance,chance
541,freundin,girlfriend
542,krieg,war
543,gefällt,pleases
544,kleinen,small
545,erzählen,tell
546,anderes,other
547,tage,days
548,entschuldigen,excuse
549,wichtig,important
550,gehst,walking
551,allen,all
552,bett,bed
553,Mrs.,Mrs.
554,sachen,things
555,the,the
556,schlecht,bad
557,schule,school
558,entschuldigung,excuse
559,wort,word
560,John,John
561,hättest,would have
562,wären,be
563,typ,Type
564,schlafen,sleep
565,äh,ah
566,tu,tu
567,euer,your
568,Captain,Captain
569,gesicht,face
570,falls,if
571,neuen,new
572,bloß,just
573,unten,below
574,teil,part
575,beiden,both
576,mensch,person
577,kleiner,smaller
578,stellen,place
579,oft,often
580,sorge,worries
581,gedacht,thought
582,tust,tust
583,trinken,drink
584,einige,some
585,dies,this
586,ding,thing
587,unseren,ours
588,kriegen,get
589,blut,blood
590,ehrlich,honest
591,eltern,parents
592,scheint,appears
593,herz,heart
594,Jack,Jack
595,glücklich,happy
596,alte,old
597,alt,old
598,bleib,stay
599,wiedersehen,reunite
600,frei,free
601,wen,whom
602,drauf,on it
603,möglich,possible
604,irgendwie,somehow
605,reicht,suffices
606,fest,firmly
607,besten,best
608,waffe,weapon
609,kaum,barely
610,irgendwas,anything
611,klingt,sounds
612,platz,place
613,brauchst,needs
614,rede,speech
615,Papa,father
616,falsch,incorrect
617,sondern,rather
618,alten,old
619,nummer,number
620,früher,earlier
621,jungen,boys
622,wohin,to where
623,außer,except
624,früh,early
625,setzen,set
626,zuerst,first
627,wahrscheinlich,probably
628,dürfen,may
629,jede,every
630,Arsch,ass
631,Telefon,phone
632,tue,do
633,kennst,know
634,willkommen,welcome
635,Plan,plan
636,großen,huge
637,retten,rescue
638,hierher,here
639,wär,would be
640,bring,bring
641,fehler,mistake
642,wollt,want
643,Dollar,dollar
644,zehn,ten
645,allem,all
646,pass,passport
647,nächste,next
648,Stunde,Hour
649,hände,hands
650,gegeben,given
651,menge,crowd
652,langsam,slow
653,bereits,already
654,wartet,waiting
655,sechs,six
656,lieben,love
657,meines,mine
658,Büro,Office
659,nächsten,next
660,gebe,gift
661,wochen,weeks
662,ruf,call
663,schaffen,create
664,leider,unfortunately
665,scheiß,shit
666,Hölle,hell
667,trotzdem,despite it
668,Doktor,doctor
669,tja,well
670,new,new
671,voll,full
672,Film,Movie
673,überall,overall
674,Hund,Dog
675,geworden,become
676,direkt,direct
677,wolltest,wanted
678,tat,did
679,denkt,thinks
680,Schiff,Ship
681,neues,new
682,wem,whom
683,König,king
684,danach,thereafter
685,funktioniert,functions
686,hattest,hate
687,lernen,learn
688,deswegen,because of this
689,wow,Wow
690,nennen,to name
691,hm,Hm
692,feuer,fire
693,laufen,run
694,alleine,alone
695,erinnern,remember
696,völlig,fully
697,kleines,small
698,könnt,can
699,stelle,Job
700,Kumpel,Dude
701,verlieren,lose
702,probleme,problems
703,spricht,speaks
704,kaffee,coffee
705,luft,air
706,fand,found
707,i,I
708,entschuldige,excuse
709,ziehen,pull
710,verschwinden,disappear
711,könntest,might
712,seht,look
713,aufhören,stop
714,eigenen,own
715,richtige,right one
716,unserem,ours
717,suche,seek
718,zwar,that is
719,groß,large
720,hol,brow
721,buch,a book
722,krank,sick
723,fühle,feel
724,jedes,every
725,verstehst,understand
726,wert,value
727,Arzt,Physician
728,froh,joyful
729,versuche,try
730,straße,street
731,rufen,call
732,heiraten,marry
733,super,Excellent
734,Sam,Sam
735,lebt,lives
736,gutes,good
737,lasse,let
738,Onkel,Uncle
739,total,total
740,gebracht,brought
741,party,party
742,erklären,explain
743,spielt,plays
744,wahl,choice
745,vertrauen,trust
746,damals,at that time
747,tagen,days
748,leicht,light
749,nachdem,after
750,gegangen,went
751,gefühl,feeling
752,kaufen,buy
753,geschafft,done
754,typen,guy
755,interessiert,interested
756,möchten,would like
757,halte,hold
758,hält,holds
759,glaub,belief
760,irgendwo,somewhere
761,stück,piece
762,genauso,just as
763,kennt,knows
764,genommen,taken
765,zukunft,future
766,weniger,fewer
767,cool,cool
768,licht,light
769,getroffen,met
770,himmel,heaven
771,nachricht,news
772,drüben,over there
773,passt,fits
774,sagten,said
775,kümmern,take care of
776,laut,loud
777,vergiss,forgetful
778,angerufen,called
779,sitzen,sit
780,daß,that
781,erde,earth
782,großer,greater
783,schlüssel,key
784,rest,rest
785,passieren,happen
786,eher,rather
787,gefragt,asked
788,gefängnis,jail
789,opfer,victim
790,körper,body
791,solche,such
792,mist,damn
793,mr,mr
794,findet,find
795,schreiben,write
796,böse,mean
797,gesprochen,spoken
798,versuch,attempt
799,vorstellen,introduce
800,wovon,About what
801,sobald,as soon
802,nochmal,once again
803,herren,Men's
804,sex,sex
805,waffen,weapons
806,wohnung,apartment
807,weh,sore
808,heißen,be called
809,krankenhaus,hospital
810,bringe,bring
811,höre,listen
812,millionen,millions
813,klasse,class
814,hart,hard
815,worden,gone
816,sinn,sense
817,außerdem,aside from that
818,verletzt,injured
819,ändern,change
820,erfahren,experience
821,tragen,carry
822,wenigstens,at least
823,vorsichtig,cautious
824,daddy,daddy
825,stolz,proud
826,stark,strong
827,fällt,fall
828,möchtest,want
829,leuten,people
830,besonders,particularly
831,schöne,lovely
832,schicken,send
833,person,person
834,schätze,appreciate
835,solange,as long as
836,länger,longer
837,großartig,great
838,lacht,laughs
839,anrufen,call up
840,stand,was standing
841,redest,speech
842,fühlen,feel
843,erwartet,expected
844,boden,floor
845,boss,boss
846,stimme,voice
847,glaubt,believes
848,still,quiet
849,sicherheit,security
850,setz,setting
851,ma,MA
852,mund,mouth
853,kämpfen,battle
854,wisst,know
855,lachen,laugh
856,hörst,hear
857,zeug,things
858,lustig,fun
859,umbringen,kill
860,sollst,thorough
861,hasse,hate
862,schlimm,terrible
863,o,O
864,unglaublich,unbelievable
865,wärst,be
866,laden,load
867,führen,to lead
868,gestorben,died
869,schauen,look
870,meinung,opinion
871,lesen,read
872,mörder,murderer
873,frank,frank
874,ähm,um
875,geschehen,happen
876,geschäft,business
877,idiot,idiot
878,verzeihung,forgiveness
879,fliegen,fly
880,zeig,show
881,team,team
882,general,general
883,mike,Mike
884,aufs,onto
885,york,York
886,vorher,beforehand
887,schluss,ending
888,schneller,more quickly
889,liebt,loved
890,verdient,earned
891,mögen,like
892,meisten,most
893,denk,think
894,umgebracht,killed
895,perfekt,perfect
896,versprochen,promised
897,handy,mobile
898,hinten,rear
899,monate,months
900,erinnere,remind
901,acht,eight
902,arbeitet,is working
903,fallen,fall
904,rufe,calls
905,nötig,necessary
906,a,A
907,mord,murder
908,heraus,out of here
909,tages,day
910,unmöglich,impossible
911,liebling,darling
912,charlie,Charlie
913,tatsächlich,actually
914,folgen,consequences
915,bitten,request
916,behalten,keep
917,nähe,vicinity
918,arbeite,work
919,joe,Joe
920,verdammte,damn
921,plötzlich,suddenly
922,lebens,life
923,hole,hole
924,tisch,table
925,michael,Michael
926,hörte,heard
927,jemals,ever
928,liegen,lay
929,verkaufen,sell
930,gefährlich,dangerous
931,anfangen,begin
932,bekommt,receives
933,machte,made
934,ha,Ha
935,hotel,hotel
936,hilft,helps
937,werdet,become
938,meister,master
939,kampf,battle
940,antwort,answer
941,konnten,could
942,geschickt,sent
943,jedem,each
944,obwohl,although
945,sieben,seven
946,komisch,funny
947,gewinnen,win
948,ihres,hers
949,bezahlt,paid
950,you,You
951,voller,full of
952,unterwegs,traveling
953,dumm,dumb
954,ärger,aggravation
955,bild,picture
956,george,George
957,neu,new
958,bezahlen,pay
959,dagegen,against it
960,seien,be
961,starb,died
962,tom,Tom
963,monaten,months
964,leiche,corpse
965,niemanden,nobody
966,auge,eye
967,arschloch,asshole
968,verheiratet,married
969,peter,Peter
970,zieh,pull
971,nimmt,takes
972,gerettet,rescued
973,traum,dream
974,entscheidung,decision
975,schlimmer,worse
976,regeln,rules
977,fenster,window
978,fangen,catch
979,fort,on
980,ständig,constant
981,findest,find
982,gefahr,danger
983,absolut,absolutely
984,mary,Mary
985,augenblick,moment
986,bescheid,notice
987,rum,rum
988,gedanken,thoughts
989,werd,werry
990,ziel,goal
991,benutzt,used
992,bewegung,movement
993,jemandem,someone
994,wünschte,wish
995,worte,words
996,kamen,came
997,welcher,which
